Country,Date,Vaccine_Manufacturer,Total_Vaccinations,CountrywiseTotalVaccination,Percentage_of_Vaccination_2,Total_Percentage_of_Vaccination_2,Protection_from_Severe_Disease_Alpha_Ancestral,Protection_from_Infection_Alpha_Ancestral,Protection_from_Severe_Disease_Beta_Gamma_Delta,Protection_from_Infection_Beta_Gamma_Delta,Protection_from_Severe_Disease_Omicron,Protection_from_Infection_Omicron,Omicorn_Severe_Disease_Efficacy,Omicorn_Infection_Efficacy,Alpha_Ancestral_Severe_Disease_Efficacy,Alpha_Ancestral_Infection_Efficacy,Beta_Gamma_Delta_Severe_Disease_Efficacy,Beta_Gamma_Delta_Infection_Efficacy,Total_Omicorn_Severe_Disease_Efficacy,Total_Omicorn_Infection_Efficacy,Total_Alpha_Ancestral_Severe_Disease_Efficacy,Total_Alpha_Ancestral_Infection_Efficacy,Total_Beta_Gamma_Delta_Severe_Disease_Efficacy,Total_Beta_Gamma_Delta_Infection_Efficacy,Susceptible_BreakOut_for_Omicorn_Severe_Disease,Susceptible_BreakOut_for_Omicorn_Infection,Susceptible_BreakOut_for_Alpha_Ancestral_Severe_Disease,Susceptible_BreakOut_for_Alpha_Ancestral_Infection,Susceptible_BreakOut_for_Beta_Gamma_Delta_Severe_Disease,Susceptible_BreakOut_for_Beta_Gamma_Delta_Infection
Argentina,2022-10-13,Oxford/AstraZeneca,26759220,109748183,0.2438238089098933,100.0,94,63,94,69,71,36,17.311490432602426,8.777657120756158,22.91943803752997,15.360899961323279,22.91943803752997,16.823842814782637,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Argentina,2022-10-14,Sputnik V,20742641,109748183,0.1890021359169108,100.0,92,86,89,85,67,44,12.663143106433024,8.316093980344077,17.388196504355793,16.25418368885433,16.82119009660506,16.065181552937418,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Argentina,2022-10-15,CanSino,979735,109748183,0.008927118182904223,100.0,66,62,64,61,48,32,0.42850167277940265,0.2856677818529351,0.5891898000716786,0.5534813273400618,0.5713355637058702,0.5445542091571576,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Argentina,2022-10-16,Moderna,13252207,109748183,0.12075103785545133,100.0,97,92,97,91,73,48,8.814825763447947,5.796049817061664,11.712850671978778,11.109095482701521,11.712850671978778,10.98834444484607,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Argentina,2022-10-16,Pfizer/BioNTech,19136214,109748183,0.17436474551929484,100.0,95,86,95,84,72,44,12.55426167738923,7.672048802848973,16.56465082433301,14.995368114659357,16.56465082433301,14.646638623620767,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Argentina,2022-10-16,Sinopharm/Beijing,28878166,109748183,0.2631311536155455,100.0,73,68,71,67,53,35,13.945951141623912,9.209590376544092,19.20857421393482,17.892918445857095,18.68231190670373,17.62978729224155,65.71817379427594,40.0571078794079,88.38290005220405,76.16594702073564,87.27177710085643,76.69834893758559,34.28182620572406,59.9428921205921,11.61709994779595,23.834052979264357,12.728222899143574,23.301651062414408
Austria,2022-09-16,Oxford/AstraZeneca,1592629,19366552,0.08223606349751882,100.0,94,63,94,69,71,36,5.838760508323836,2.960498285910677,7.730189968766768,5.180872000343685,7.730189968766768,5.6742883813287985,71.71199406068772,43.47211346655821,94.91169088849682,84.34985809554534,94.71935215933118,82.97949268408749,28.288005939312285,56.52788653344179,5.088309111503179,15.650141904454657,5.28064784066882,17.02050731591251
Austria,2022-10-04,Johnson&Johnson,368082,19366552,0.01900606778119306,100.0,86,72,76,64,57,33,1.0833458635280044,0.627200236779371,1.6345218291826031,1.3684368802459004,1.4444611513706724,1.2163883379963558,71.71199406068772,43.47211346655821,94.91169088849682,84.34985809554534,94.71935215933118,82.97949268408749,28.288005939312285,56.52788653344179,5.088309111503179,15.650141904454657,5.28064784066882,17.02050731591251
Austria,2022-10-04,Moderna,1646408,19366552,0.08501296462065111,100.0,97,92,97,91,73,48,6.205946417307531,4.080622301791253,8.246257568203157,7.821192745099902,8.246257568203157,7.736179780479251,71.71199406068772,43.47211346655821,94.91169088849682,84.34985809554534,94.71935215933118,82.97949268408749,28.288005939312285,56.52788653344179,5.088309111503179,15.650141904454657,5.28064784066882,17.02050731591251
Austria,2022-10-04,Novavax,14312,19366552,0.000739006096697027,100.0,89,83,86,82,65,43,0.04803539628530675,0.03177726215797216,0.0657715426060354,0.061337506025853236,0.06355452431594431,0.06059849992915621,71.71199406068772,43.47211346655821,94.91169088849682,84.34985809554534,94.71935215933118,82.97949268408749,28.288005939312285,56.52788653344179,5.088309111503179,15.650141904454657,5.28064784066882,17.02050731591251
