Country,Date,Vaccine_Manufacturer,Total_Vaccinations,CountrywiseTotalVaccination,Percentage_of_Vaccination_2,Total_Percentage_of_Vaccination_2,Protection_from_Severe_Disease_Alpha_Ancestral,Protection_from_Infection_Alpha_Ancestral,Protection_from_Severe_Disease_Beta_Gamma_Delta,Protection_from_Infection_Beta_Gamma_Delta,Protection_from_Severe_Disease_Omicron,Protection_from_Infection_Omicron
Argentina,2022-10-13,Oxford/AstraZeneca,26759220,109748183,0.2438238089098933,100.0,94,63,94,69,71,36
Argentina,2022-10-14,Sputnik V,20742641,109748183,0.1890021359169108,100.0,92,86,89,85,67,44
Argentina,2022-10-15,CanSino,979735,109748183,0.008927118182904223,100.0,66,62,64,61,48,32
Argentina,2022-10-16,Moderna,13252207,109748183,0.12075103785545133,100.0,97,92,97,91,73,48
Argentina,2022-10-16,Pfizer/BioNTech,19136214,109748183,0.17436474551929484,100.0,95,86,95,84,72,44
Argentina,2022-10-16,Sinopharm/Beijing,28878166,109748183,0.2631311536155455,100.0,73,68,71,67,53,35
Austria,2022-09-16,Oxford/AstraZeneca,1592629,19366552,0.08223606349751882,100.0,94,63,94,69,71,36
Austria,2022-10-04,Johnson&Johnson,368082,19366552,0.01900606778119306,100.0,86,72,76,64,57,33
Austria,2022-10-04,Moderna,1646408,19366552,0.08501296462065111,100.0,97,92,97,91,73,48
Austria,2022-10-04,Novavax,14312,19366552,0.000739006096697027,100.0,89,83,86,82,65,43
Austria,2022-10-04,Pfizer/BioNTech,15744530,19366552,0.8129753814721381,100.0,95,86,95,84,72,44
Austria,2022-10-04,Valneva,591,19366552,3.0516531801840615e-05,100.0,75,70,73,69,55,36
Belgium,2022-08-19,Oxford/AstraZeneca,2848551,25878422,0.11007437006785036,100.0,94,63,94,69,71,36
Belgium,2022-09-16,Novavax,358,25878422,1.3833919239743443e-05,100.0,89,83,86,82,65,43
Belgium,2022-09-30,Johnson&Johnson,427982,25878422,0.016538179955485694,100.0,86,72,76,64,57,33
Belgium,2022-09-30,Moderna,4316874,25878422,0.1668136488384029,100.0,97,92,97,91,73,48
Belgium,2022-09-30,Pfizer/BioNTech,18284657,25878422,0.7065599672190214,100.0,95,86,95,84,72,44
Bulgaria,2022-04-22,Oxford/AstraZeneca,478547,4548945,0.10519955725998006,100.0,94,63,94,69,71,36
Bulgaria,2022-09-30,Johnson&Johnson,527896,4548945,0.1160480067356277,100.0,86,72,76,64,57,33
Bulgaria,2022-09-30,Moderna,508459,4548945,0.11177514786395527,100.0,97,92,97,91,73,48
Bulgaria,2022-09-30,Pfizer/BioNTech,3034043,4548945,0.666977288140437,100.0,95,86,95,84,72,44
Canada,2022-09-11,Medicago,863,90191204,9.56856058823652e-06,100.0,89,75,89,75,65,43
Canada,2022-10-09,Johnson&Johnson,23263,90191204,0.0002579298087649434,100.0,86,72,76,64,57,33
